view0_projectionMatrix[0],view0_projectionMatrix[1],view0_projectionMatrix[2],view0_projectionMatrix[3],view0_projectionMatrix[4],view0_projectionMatrix[5],view0_projectionMatrix[6],view0_projectionMatrix[7],view0_projectionMatrix[8],view0_projectionMatrix[9],view0_projectionMatrix[10],view0_projectionMatrix[11],view0_projectionMatrix[12],view0_projectionMatrix[13],view0_projectionMatrix[14],view0_projectionMatrix[15],view0_viewMatrix[0],view0_viewMatrix[1],view0_viewMatrix[2],view0_viewMatrix[3],view0_viewMatrix[4],view0_viewMatrix[5],view0_viewMatrix[6],view0_viewMatrix[7],view0_viewMatrix[8],view0_viewMatrix[9],view0_viewMatrix[10],view0_viewMatrix[11],view0_viewMatrix[12],view0_viewMatrix[13],view0_viewMatrix[14],view0_viewMatrix[15],view9_preferrdWidth,view0_preferredHeight,view0_enabled,view1_projectionMatrix[0],view1_projectionMatrix[1],view1_projectionMatrix[2],view1_projectionMatrix[3],view1_projectionMatrix[4],view1_projectionMatrix[5],view1_projectionMatrix[6],view1_projectionMatrix[7],view1_projectionMatrix[8],view1_projectionMatrix[9],view1_projectionMatrix[10],view1_projectionMatrix[11],view1_projectionMatrix[12],view1_projectionMatrix[13],view1_projectionMatrix[14],view1_projectionMatrix[15],view1_viewMatrix[0],view1_viewMatrix[1],view1_viewMatrix[2],view1_viewMatrix[3],view1_viewMatrix[4],view1_viewMatrix[5],view1_viewMatrix[6],view1_viewMatrix[7],view1_viewMatrix[8],view1_viewMatrix[9],view1_viewMatrix[10],view1_viewMatrix[11],view1_viewMatrix[12],view1_viewMatrix[13],view1_viewMatrix[14],view1_viewMatrix[15],view1_preferrdWidth,view1_preferredHeight,view1_enabled,view2_projectionMatrix[0],view2_projectionMatrix[1],view2_projectionMatrix[2],view2_projectionMatrix[3],view2_projectionMatrix[4],view2_projectionMatrix[5],view2_projectionMatrix[6],view2_projectionMatrix[7],view2_projectionMatrix[8],view2_projectionMatrix[9],view2_projectionMatrix[10],view2_projectionMatrix[11],view2_projectionMatrix[12],view2_projectionMatrix[13],view2_projectionMatrix[14],view2_projectionMatrix[15],view2_viewMatrix[0],view2_viewMatrix[1],view2_viewMatrix[2],view2_viewMatrix[3],view2_viewMatrix[4],view2_viewMatrix[5],view2_viewMatrix[6],view2_viewMatrix[7],view2_viewMatrix[8],view2_viewMatrix[9],view2_viewMatrix[10],view2_viewMatrix[11],view2_viewMatrix[12],view2_viewMatrix[13],view2_viewMatrix[14],view2_viewMatrix[15],view2_preferrdWidth,view2_preferredHeight,view2_enabled,view3_projectionMatrix[0],view3_projectionMatrix[1],view3_projectionMatrix[2],view3_projectionMatrix[3],view3_projectionMatrix[4],view3_projectionMatrix[5],view3_projectionMatrix[6],view3_projectionMatrix[7],view3_projectionMatrix[8],view3_projectionMatrix[9],view3_projectionMatrix[10],view3_projectionMatrix[11],view3_projectionMatrix[12],view3_projectionMatrix[13],view3_projectionMatrix[14],view3_projectionMatrix[15],view3_viewMatrix[0],view3_viewMatrix[1],view3_viewMatrix[2],view3_viewMatrix[3],view3_viewMatrix[4],view3_viewMatrix[5],view3_viewMatrix[6],view3_viewMatrix[7],view3_viewMatrix[8],view3_viewMatrix[9],view3_viewMatrix[10],view3_viewMatrix[11],view3_viewMatrix[12],view3_viewMatrix[13],view3_viewMatrix[14],view3_viewMatrix[15],view3_preferrdWidth,view3_preferredHeight,view3_enabled,fovTangents0_top,fovTangents0_bottom,fovTangents0_left,fovTangents0_right,fovTangents1_top,fovTangents1_bottom,fovTangents1_left,fovTangents1_right,fovTangents2_top,fovTangents2_bottom,fovTangents2_left,fovTangents2_right,fovTangents3_top,fovTangents3_bottom,fovTangents3_left,fovTangents3_right,timestamp,frameNumber
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986634,-0.038740,-0.158279,-0.000000,0.034288,0.998938,-0.030766,0.000000,0.159303,0.024928,0.986915,-0.000000,-0.017312,0.007708,-0.047143,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986634,-0.038740,-0.158279,-0.000000,0.034288,0.998938,-0.030766,0.000000,0.159303,0.024928,0.986915,-0.000000,-0.080592,0.007708,-0.047143,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986634,-0.038740,-0.158279,-0.000000,0.034288,0.998938,-0.030766,0.000000,0.159303,0.024928,0.986915,-0.000000,-0.017312,0.007708,-0.047143,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986634,-0.038740,-0.158279,-0.000000,0.034288,0.998938,-0.030766,0.000000,0.159303,0.024928,0.986915,-0.000000,-0.080592,0.007708,-0.047143,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193112302100,1
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986628,-0.038713,-0.158322,-0.000000,0.034287,0.998944,-0.030599,0.000000,0.159339,0.024761,0.986913,-0.000000,-0.017316,0.007719,-0.047144,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986628,-0.038713,-0.158322,-0.000000,0.034287,0.998944,-0.030599,0.000000,0.159339,0.024761,0.986913,-0.000000,-0.080596,0.007719,-0.047144,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986628,-0.038713,-0.158322,-0.000000,0.034287,0.998944,-0.030599,0.000000,0.159339,0.024761,0.986913,-0.000000,-0.017316,0.007719,-0.047144,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986628,-0.038713,-0.158322,-0.000000,0.034287,0.998944,-0.030599,0.000000,0.159339,0.024761,0.986913,-0.000000,-0.080596,0.007719,-0.047144,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193123391300,2
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986646,-0.038701,-0.158212,-0.000000,0.034258,0.998941,-0.030718,0.000000,0.159233,0.024888,0.986927,-0.000000,-0.017316,0.007705,-0.047148,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986646,-0.038701,-0.158212,-0.000000,0.034258,0.998941,-0.030718,0.000000,0.159233,0.024888,0.986927,-0.000000,-0.080595,0.007705,-0.047148,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986646,-0.038701,-0.158212,-0.000000,0.034258,0.998941,-0.030718,0.000000,0.159233,0.024888,0.986927,-0.000000,-0.017316,0.007705,-0.047148,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986646,-0.038701,-0.158212,-0.000000,0.034258,0.998941,-0.030718,0.000000,0.159233,0.024888,0.986927,-0.000000,-0.080595,0.007705,-0.047148,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193134510900,3
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986603,-0.038722,-0.158480,-0.000000,0.034279,0.998941,-0.030675,0.000000,0.159500,0.024831,0.986886,-0.000000,-0.017337,0.007707,-0.047133,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986603,-0.038722,-0.158480,-0.000000,0.034279,0.998941,-0.030675,0.000000,0.159500,0.024831,0.986886,-0.000000,-0.080617,0.007707,-0.047133,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986603,-0.038722,-0.158480,-0.000000,0.034279,0.998941,-0.030675,0.000000,0.159500,0.024831,0.986886,-0.000000,-0.017337,0.007707,-0.047133,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986603,-0.038722,-0.158480,-0.000000,0.034279,0.998941,-0.030675,0.000000,0.159500,0.024831,0.986886,-0.000000,-0.080617,0.007707,-0.047133,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193145635500,4
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986623,-0.038674,-0.158367,-0.000000,0.034235,0.998943,-0.030666,0.000000,0.159386,0.024834,0.986904,-0.000000,-0.017328,0.007704,-0.047146,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986623,-0.038674,-0.158367,-0.000000,0.034235,0.998943,-0.030666,0.000000,0.159386,0.024834,0.986904,-0.000000,-0.080608,0.007704,-0.047146,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986623,-0.038674,-0.158367,-0.000000,0.034235,0.998943,-0.030666,0.000000,0.159386,0.024834,0.986904,-0.000000,-0.017328,0.007704,-0.047146,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986623,-0.038674,-0.158367,-0.000000,0.034235,0.998943,-0.030666,0.000000,0.159386,0.024834,0.986904,-0.000000,-0.080608,0.007704,-0.047146,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193156738300,5
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986599,-0.038703,-0.158508,-0.000000,0.034265,0.998943,-0.030635,0.000000,0.159526,0.024793,0.986882,-0.000000,-0.017341,0.007708,-0.047141,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986599,-0.038703,-0.158508,-0.000000,0.034265,0.998943,-0.030635,0.000000,0.159526,0.024793,0.986882,-0.000000,-0.080621,0.007708,-0.047141,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986599,-0.038703,-0.158508,-0.000000,0.034265,0.998943,-0.030635,0.000000,0.159526,0.024793,0.986882,-0.000000,-0.017341,0.007708,-0.047141,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986599,-0.038703,-0.158508,-0.000000,0.034265,0.998943,-0.030635,0.000000,0.159526,0.024793,0.986882,-0.000000,-0.080621,0.007708,-0.047141,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193167850100,6
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986614,-0.038707,-0.158416,-0.000000,0.034256,0.998940,-0.030734,0.000000,0.159437,0.024896,0.986894,-0.000000,-0.017339,0.007696,-0.047143,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986614,-0.038707,-0.158416,-0.000000,0.034256,0.998940,-0.030734,0.000000,0.159437,0.024896,0.986894,-0.000000,-0.080619,0.007696,-0.047143,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986614,-0.038707,-0.158416,-0.000000,0.034256,0.998940,-0.030734,0.000000,0.159437,0.024896,0.986894,-0.000000,-0.017339,0.007696,-0.047143,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986614,-0.038707,-0.158416,-0.000000,0.034256,0.998940,-0.030734,0.000000,0.159437,0.024896,0.986894,-0.000000,-0.080619,0.007696,-0.047143,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193178977000,7
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038719,-0.158446,-0.000000,0.034254,0.998938,-0.030815,0.000000,0.159471,0.024975,0.986887,-0.000000,-0.017335,0.007693,-0.047147,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038719,-0.158446,-0.000000,0.034254,0.998938,-0.030815,0.000000,0.159471,0.024975,0.986887,-0.000000,-0.080615,0.007693,-0.047147,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038719,-0.158446,-0.000000,0.034254,0.998938,-0.030815,0.000000,0.159471,0.024975,0.986887,-0.000000,-0.017335,0.007693,-0.047147,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038719,-0.158446,-0.000000,0.034254,0.998938,-0.030815,0.000000,0.159471,0.024975,0.986887,-0.000000,-0.080615,0.007693,-0.047147,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193190080900,8
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986611,-0.038703,-0.158430,-0.000000,0.034245,0.998939,-0.030777,0.000000,0.159453,0.024939,0.986890,-0.000000,-0.017336,0.007694,-0.047151,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986611,-0.038703,-0.158430,-0.000000,0.034245,0.998939,-0.030777,0.000000,0.159453,0.024939,0.986890,-0.000000,-0.080616,0.007694,-0.047151,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986611,-0.038703,-0.158430,-0.000000,0.034245,0.998939,-0.030777,0.000000,0.159453,0.024939,0.986890,-0.000000,-0.017336,0.007694,-0.047151,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986611,-0.038703,-0.158430,-0.000000,0.034245,0.998939,-0.030777,0.000000,0.159453,0.024939,0.986890,-0.000000,-0.080616,0.007694,-0.047151,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193201186200,9
0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,-0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038706,-0.158448,-0.000000,0.034243,0.998939,-0.030802,0.000000,0.159472,0.024963,0.986887,-0.000000,-0.017337,0.007700,-0.047159,1.000000,1024,1109,1,0.782853,0.000000,0.000000,0.000000,0.000000,0.791319,0.000000,0.000000,0.211994,-0.003996,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038706,-0.158448,-0.000000,0.034243,0.998939,-0.030802,0.000000,0.159472,0.024963,0.986887,-0.000000,-0.080617,0.007700,-0.047159,1.000000,1024,1109,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038706,-0.158448,-0.000000,0.034243,0.998939,-0.030802,0.000000,0.159472,0.024963,0.986887,-0.000000,-0.017337,0.007700,-0.047159,1.000000,856,938,1,1.732051,0.000000,0.000000,0.000000,0.000000,1.732051,0.000000,0.000000,0.000000,0.000000,-1.000000,-1.000000,0.000000,0.000000,-0.100000,0.000000,0.986608,-0.038706,-0.158448,-0.000000,0.034243,0.998939,-0.030802,0.000000,0.159472,0.024963,0.986887,-0.000000,-0.080617,0.007700,-0.047159,1.000000,856,938,1,1.258663,-1.268762,-1.548176,1.006582,1.258663,-1.268762,-1.006582,1.548176,0.577350,-0.577350,-0.577350,0.577350,0.577350,-0.577350,-0.577350,0.577350,1000016193212291500,10
